iter	Passed	Remaining
266	390	1073
267	392	1071
268	393	1069
269	395	1068
270	396	1067
271	398	1065
272	399	1063
273	400	1061
274	402	1060
275	403	1057
276	405	1057
277	406	1056
278	408	1054
279	409	1053
280	411	1052
281	412	1050
282	414	1049
283	415	1047
284	417	1046
285	418	1044
286	419	1043
287	421	1041
288	422	1040
289	424	1039
290	426	1039
291	428	1037
292	429	1036
293	430	1034
294	432	1033
295	433	1032
296	435	1031
297	437	1029
298	438	1028
299	440	1027
300	441	1026
301	443	1024
302	444	1023
303	446	1021
304	447	1020
305	449	1018
306	450	1017
307	451	1015
308	452	1012
309	454	1011
310	455	1009
311	457	1007
312	458	1006
313	459	1004
314	461	1002
315	462	1001
316	463	999
317	465	998
318	466	996
319	468	994
320	469	993
321	471	991
322	472	990
323	473	988
324	475	987
325	476	985
326	478	984
327	479	982
328	480	980
329	482	979
330	483	978
331	485	976
332	486	975
333	488	973
334	489	972
335	491	970
336	492	969
337	494	967
338	495	966
339	497	964
340	498	963
341	500	962
342	501	960
343	502	959
344	504	957
345	506	956
346	507	954
347	508	953
348	510	952
349	512	950
350	513	949
351	514	947
352	516	946
353	517	944
354	519	942
355	520	941
356	521	939
357	523	938
358	524	937
359	526	935
360	527	933
361	529	932
362	530	930
363	531	929
364	533	928
365	534	926
366	536	924
367	537	923
368	539	921
369	540	919
370	541	918
371	542	916
372	544	915
373	545	913
374	547	912
375	548	910
376	550	909
377	551	907
378	553	906
379	554	905
380	556	903
381	557	902
382	559	900
383	560	899
384	561	896
385	562	895
386	564	894
387	566	894
388	568	892
389	570	891
390	571	890
391	572	888
392	574	887
393	575	885
394	577	884
395	578	882
396	580	881
397	581	879
398	582	878
399	584	876
400	585	875
401	587	873
402	588	872
403	589	869
404	590	868
405	592	866
406	593	865
407	595	863
408	596	862
409	598	860
410	599	859
411	600	857
412	602	856
413	603	854
414	605	853
415	606	851
416	608	850
417	609	848
418	610	847
419	612	845
420	613	844
421	615	842
422	616	841
423	618	839
424	619	838
425	620	835
426	621	834
427	623	832
428	624	831
429	626	830
430	627	828
431	629	827
432	630	825
433	632	824
434	633	823
435	635	821
436	636	820
437	638	818
438	639	817
439	641	815
440	642	814
441	644	813
442	645	811
443	646	810
444	648	808
445	649	807
446	651	805
447	652	804
448	654	802
449	655	801
450	657	800
451	659	799
452	660	797
453	661	795
454	663	794
455	664	792
456	666	791
457	667	790
458	669	788
459	670	787
460	672	785
461	673	784
462	674	782
463	676	781
464	677	779
465	679	778
466	680	776
467	681	774
468	682	773
469	684	771
470	685	770
471	687	768
472	688	767
473	690	765
474	691	764
475	692	762
476	694	761
477	696	760
